question_type,style_domain,n,avg_accuracy
语句填空,生态环境,8,0.6503
语句填空,政治治理,26,0.6625
语句填空,其他,1,0.6511
语句填空,科技科普,52,0.6317
语句填空,文化社科,65,0.6545
语句填空,民生社会,25,0.6798
语句填空,法律司法,6,0.4997
语句填空,经济发展,17,0.6161
主旨概括,科技科普,39,0.7156
主旨概括,生态环境,5,0.5789
主旨概括,文化社科,28,0.6918
主旨概括,经济发展,13,0.6819
主旨概括,法律司法,1,0.7262
主旨概括,其他,1,0.4672
主旨概括,民生社会,2,0.6699
主旨概括,政治治理,4,0.7577
意图判断,科技科普,73,0.7293
意图判断,文化社科,45,0.7072
意图判断,法律司法,3,0.7002
意图判断,经济发展,29,0.6775
意图判断,政治治理,16,0.717
意图判断,生态环境,6,0.7475
意图判断,民生社会,26,0.7082
意图判断,其他,2,0.6031
标题选择,法律司法,1,0.6704
标题选择,科技科普,17,0.6204
标题选择,文化社科,17,0.6807
标题选择,政治治理,8,0.6892
标题选择,经济发展,5,0.7946
标题选择,其他,6,0.5881
标题选择,生态环境,1,0.4764
标题选择,民生社会,1,0.4349
细节判断,科技科普,59,0.7424
细节判断,文化社科,37,0.7522
细节判断,生态环境,2,0.6617
细节判断,经济发展,9,0.7873
细节判断,民生社会,11,0.8046
细节判断,其他,2,0.5896
细节判断,法律司法,2,0.5106
词句理解,科技科普,4,0.6897
词句理解,生态环境,2,0.8192
词句理解,文化社科,2,0.5524
词句理解,民生社会,1,0.4004
